City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,cleveland,41.4995,-81.6954,0.23,87,100,2.06,US,1673233027
337,aasiaat,68.7098,-52.8699,-21.63,97,81,1.85,GL,1673233051
338,saint-augustin,51.226,-58.6502,-15.46,76,70,2.52,CA,1673233051
339,hohhot,40.8106,111.6522,-0.84,51,0,2.0,CN,1673233052
340,scarborough,54.2797,-0.4044,5.44,88,82,4.02,GB,1673233052
341,kendari,-3.945,122.4989,26.37,85,100,1.11,ID,1673232775
342,solhan,38.9634,41.0293,-4.5,81,29,1.44,TR,1673233052
343,encruzilhada,-15.5314,-40.9094,19.19,98,100,1.37,BR,1673233053
344,sabha,27.0377,14.4283,9.12,68,0,3.09,LY,1673233053
345,peniche,39.3558,-9.3811,15.62,97,100,5.0,PT,1673233054
346,griffith,41.5284,-87.4237,-1.5,84,100,6.17,US,1673232792
347,balykshi,47.0667,51.8667,-18.0,78,0,3.0,KZ,1673233054
348,salalah,17.0151,54.0924,20.0,81,1,0.76,OM,1673233054
349,kruisfontein,-34.0033,24.7314,17.94,64,2,1.68,ZA,1673232982
350,sokolow podlaski,52.4068,22.2531,2.68,95,100,5.14,PL,1673233055
351,beira,-19.8436,34.8389,21.93,81,99,4.04,MZ,1673233055
352,talnakh,69.4865,88.3972,-34.89,98,33,1.25,RU,1673233056
353,tres arroyos,-38.3739,-60.2798,24.2,40,0,7.61,AR,1673233056
354,pidhorodne,48.5753,35.1068,-8.89,58,45,4.17,UA,1673233056
355,anadyr,64.75,177.4833,-9.72,92,100,10.0,RU,1673233057
356,tabou,4.423,-7.3528,25.3,86,11,3.05,CI,1673233057
357,lillooet,50.6856,-121.942,2.82,96,100,1.46,CA,1673233058
358,ensenada,31.8667,-116.6167,15.17,63,88,0.86,MX,1673233058
359,vila,42.0304,-8.1588,4.49,95,96,2.03,PT,1673233059
360,herat,34.5,62.0,6.13,59,5,2.39,AF,1673233059
361,naze,28.3667,129.4833,16.51,56,56,0.88,JP,1673232859
362,waqqas,32.5427,35.6053,13.29,66,62,2.38,JO,1673233060
